ticker,total ESG score,,,,,
KRTX,31.8,,,,,
AKRO,31.8,,,,,
FRGI,31.8,,,,,
TRS,31.8,,,,,
SELB,31.8,,,,,
STKS,31.8,,,,,
CMRX,31.8,,,,,
ABCB,31.7,,,,,
OPK,31.7,,,,,
GEO,31.7,,,,,
CDNA,31.7,,,,,
SHAK,31.7,,,,,
SCOR,31.7,,,,,
SRCE,31.7,,,,,
IRMD,31.7,,,,,
STC,31.7,,,,,
SFBS,31.6,,,,,
SGH,31.6,,,,,
PIPR,31.6,,,,,
VBTX,31.6,,,,,
HAIN,31.6,,,,,
ALRS,31.6,,,,,
SDC,31.6,,,,,
BLDR,31.6,,,,,
WLFC,31.5,,,,,
HTH,31.5,,,,,
ICPT,31.5,,,,,
NGVC,31.5,,,,,
HLNE,31.5,,,,,
CATY,31.5,,,,,
PUMP,31.5,,,,,
BCO,31.5,,,,,
PZZA,31.4,,,,,
VNTR,31.4,,,,,
HE,31.4,,,,,
CNTY,31.4,,,,,
SGMO,31.4,,,,,
SAM,31.4,,,,,
NVST,31.4,,,,,
DMTK,31.3,,,,,
CHUY,31.3,,,,,
ENLC,31.3,,,,,
PRMW,31.3,,,,,
USPH,31.3,,,,,
ALG,31.3,,,,,
RIGL,31.3,,,,,
ATNI,31.3,,,,,
TG,31.3,,,,,
CIA,31.2,,,,,
TCRT,31.2,,,,,
WSFS,31.1,,,,,
MRCY,31.1,,,,,
NARI,31.1,,,,,
OFG,31.1,,,,,
EVI,31.1,,,,,
NR,31.1,,,,,
WWD,31.1,,,,,
FSS,31.1,,,,,
PLUG,31.1,,,,,
MIDD,31,,,,,
PNW,31,,,,,
SJM,31,,,,,
SNA,31,,,,,
DPZ,31,,,,,
GM,31,,,,,
MCHP,31,,,,,
IMO,31,,,,,
WASH,31,,,,,
SRT,31,,,,,
AMSC,31,,,,,
CFFN,31,,,,,
CARE,31,,,,,
MESA,31,,,,,
LCTX,31,,,,,
OFIX,31,,,,,
BXC,31,,,,,
OCGN,30.9,,,,,
CHCO,30.9,,,,,
EIG,30.9,,,,,
OGS,30.9,,,,,
AWR,30.8,,,,,
FBP,30.8,,,,,
